title,abstract,wosarticle__py,keywords,relevance
Carbon capture and storage using low-temperature post-combustion technologies,"To reach the short-term targets of the carbon dioxide limit, measures such as carbon capture and storage are necessary. The objective of this paper is to assess some low-temperature post-combustion technologies for the capture of CO2 from combustion gases. Two methods for the liquefaction and separation of CO2 are discussed: The use of the low-temperature exergy of liquefied natural gas (LNG), while regasifying the LNG, and a refrigeration cycle with helium as the working fluid. Each of these methods is evaluated at three CO2 concentrations: 30%, 13%, and 4%. The results showed that an increase in the concentration of CO2 in the combustion gases causes a large increase in the overall exergetic efficiency and a large decrease in the cost of CO2 capture and energy penalty of the capture process. In addition, these advantages can be seen when the liquefaction method is changed from helium refrigeration cycle to LNG regasification. For a 30% CO2 concentration using LNG, the overall exergetic efficiency is 41.2%, and the cost of CO2 capture is 45.5 $/tCO(2) with a CO2 capture rate of 96.3%.",,Carbon capture; carbon storage; post-combustion technology; exergy analysis; economic analysis,No (2)
Analytical tool for unpacking the driving forces of environmental impact: an IPAT analysis of Pakistan,"The continuous increase in carbon dioxide (CO2) emission leads to an adverse climate change, that has a disastrous impact on the socio-economic lives of the human being. Therefore, to reduce the environmental impact on human life, it is necessary to provide mitigation measures for CO(2)emissions and to investigate the influence of pre-determined factors such as population, affluence, and technology (IPAT) on the environment. Hence, the current study is undertaken to ascertain the impact of the IPAT factors on environmental quality by using the Compound Annual Growth Rate (CAGR) and Log Mean Divisia Index (LMDI) decomposition techniques for Pakistan over the time period 1990-2014. The CAGR result exhibits that the 142.53 folds in CO(2)emissions are driven by the population growth which is accompanied by the income growth, while the technological effect significantly decreased the growth of CO(2)emissions by - 82.72 folds during 1990-2014, the energy induced CO(2)emissions shows a negative growth rate during the study period that is attributed to the energy crises during most of the study years. Besides, the LMDI decomposition technique shows that the impact of population and affluence leads to an increase in CO(2)emissions. Furthermore, the technological effect helps to reduce CO(2)emissions in all phases except phase 2 (1995-1999) where it has been identified as a significant contributor to CO(2)emissions.",,CO(2)emissions; Environment; IPAT analysis,No (2)
New Methods for Evaluating Energy Infrastructure Development Risks,"Many energy technologies that can provide reliable, low-carbon electricity generation are confined to nations that have access to robust technical and economic capabilities, either on their own or through geopolitical alliances. Equally important, these nations maintain a degree of institutional capacity that could lower the risks associated with deploying emergent energy technologies such as advanced nuclear or carbon capture and storage. The complexity, expense, and scrutiny that come with building these facilities make them infeasible choices for most nations. This paradigm is slowly changing, as the pressing need for low-carbon electricity generation and ongoing efforts to develop modular nuclear and carbon capture technologies have opened the door for potentially wider markets, including in nations without substantial institutional capacity. Here, using advanced nuclear technologies as our testbed, we develop new methods to evaluate national readiness for deploying complex energy infrastructure. Specifically, we use Data Envelopment Analysis-a method that eliminates the need for expert judgment-to benchmark performance across nations. We find that approximately 80% of new nuclear deployment occurs in nations that are in the top two quartiles of institutional and economic performance. However, 85% of potential low-carbon electricity demand growth is in nations that are in the bottom two quartiles of performance. We offer iconic paradigms for deploying nuclear power in each of these clusters of nations if the goal is to mitigate risk. Our research helps redouble efforts by industry, regulators, and international development agencies to focus on areas where readiness is low and risk correspondingly higher.",,Infrastructure development; readiness assessment; deep decarbonization; data envelopment analysis,No (2)
"A review of carbon farming impacts on nitrogen cycling, retention, and loss","Soil carbon (C) sequestration in agricultural working lands via soil amendments and management practices is considered a relatively well-tested and affordable approach for removing CO2 from the atmosphere. Carbon farming provides useful benefits for soil health, biomass production, and crop resilience, but the effects of different soil C sequestration approaches on the nitrogen (N) cycle remain controversial. While some C farming practices have been shown to reduce N fertilizer use in some cases, C farming could also impose an unwanted ""N penalty"" through which soil C gains can only be maintained with additional N inputs, thereby increasing N losses to the environment. We systematically reviewed meta-analysis studies on the impacts of C farming on N cycling in agroecosystems and estimated the cumulative effect of several C farming practices on N cycling. We found that, on average, combined C farming practices significantly reduced nitrous oxide emissions and nitrate leaching from soils, thus inferring both N cycling and climate change benefits. In addition to more widely studied C farming practices that generate organic C, we also discuss silicate rock additions, which offer a pathway to inorganic C sequestration that does not require additional N inputs, framing important questions for future research.",2021,nitrogen cycling; carbon farming; nitrate leaching; nitrous oxide emissions; nitrogen availability; yield,Yes (1)
"Climate change effect on soil carbon stock in different land use types in eastern Rajasthan, India","Global change in climate might have potential effect on both SOC stock and carbon sequestration capacity in soil. Predicting soil carbon stock in future climate scenarios is crucial for implementation of adaptation methods to mitigate influence of climate change. In the current study, multiple linear regression analysis was performed to determine relationship between climatic variables and soil carbon stock under land use types. To project the impact of climate change on SOC stock, we applied CarboSOIL model. Baseline and future climate data are acquired using spatial analyst tool in ArcGIS. Three global circulation models of fifth phase of the coupled model intercomparison project driven by four representative concentration pathway scenarios were selected for projecting future climate data. Time periods selected were baseline (1970-2000), 2050 (2041-2060) and 2070 (2061-2080). Six land use classes were obtained, i.e. dry deciduous forest, tropical thorn forest, scrubland, cropland, plantation and fallow land from analysis of satellite images. Regression analysis revealed that the temperature has significant influence on the variation of SOC stock under all land use types. Under dry deciduous forest and plantation, there is no significant influence of rainfall variable, whereas under other land use pattern, there is significant influence on SOC stock. Predicted vs. actual soil value showed that overall regression model was significant under all land use types. Altogether, findings from CarboSOIL model indicate that the future climate change will have an adverse impact on SOC stock in 0-30 cm of soil depth.",,CarboSOIL; Climate change scenarios; Climatic variables; Global circulation models; Land use types; SOC stock,No (2)
Investigation of different biogeochemical cover configurations for mitigation of landfill gas emissions: laboratory column experiments,"Municipal solid waste (MSW) landfills are a major source of anthropogenic methane (CH4) and carbon dioxide (CO2) emissions, which are also major greenhouse gases. Apart from greenhouse gas emissions, MSW landfills are notorious for odor, and hydrogen sulfide (H2S) is a major contributor of odor in landfills. Recent studies have shown promise with biochar-amended soil covers to mitigate landfill CH4 emissions by enhancing microbial CH4 oxidation; however, mitigating only CH4 does not wholly resolve fugitive emissions as landfill gas (LFG) comprise of almost same proportion of CO2 as CH4. Also, H2S has very low odor threshold and numerous health risks. This study explores a novel biogeochemical MSW landfill cover integrating basic oxygen furnace (BOF) slag and biochar-amended soil to mitigate CH4, CO2 and H2S simultaneously from LFG. In this regard, column studies were carried out simulating four cover profiles: 1) soil control (column 1); 2) combination of BOF slag layer and 10% (by weight) biochar-amended soil layer (column 2); 3) combination of BOF slag layer and 5% (by weight) methanotrophically activated biochar-amended soil layer (column 3); and 4) combination of mixture of sand and BOF slag layer and 10% (by weight) methanotrophically activated biochar-amended soil layer (column 4). The cover profiles were exposed to simulated LFG (48.25% CH4, 50% CO2 and 1.75% H2S) at an average flux rate of 130 g CH4/m(2)-day. Terminal batch assays were conducted on the soil and biochar-amended soil samples obtained from various depths after exhumation from the columns to evaluate potential CH4 oxidation rates. Carbonate content tests and batch tests were conducted to evaluate carbonation potential of the BOF slag. The overall gas removal efficiencies of the cover profiles were in the order of column 3 > column 2 > column 4 > column 1. The CH4 oxidation rates were the highest in the 5% activated biochar-amended soil at 143 mu g CH4/g-day or 100 mu g CH4/g-day above soil control. Higher CH4 oxidation potential was associated with high moisture retention and biochar content. The BOF slag showed a maximum CO2 removal of 145 mg CO2/g BOF slag during column operation. Carbonation of BOF slag did not impede oxygen intrusion into the underlying biochar-amended soil layer and its CH4 oxidation efficiency. Overall, biogeochemical cover provides a holistic and sustainable solution to fugitive landfill emissions.",,Activated biochar; Biochar; Biogeochemical cover; BOF slag; Carbonation; Methane oxidation,No (2)
Decarbonization: examining the role of environmental innovation versus renewable energy use,"Climate change resulting from a rapid increase in greenhouse gas (GHG) emissions is adversely affecting humanity. If the GHG emission continues to rise at the current pace, humanity will face severe consequences and reverse all the progress made. This paper, therefore, uses relevant data from 14 developing countries in Asia from 1990 to 2018 to examine the potential impact of environmental innovation on CO2 emissions by controlling globalization, urbanization, and economic growth. The number of environmental-related technology patents is used as a measure of environmental innovation. We employed a panel long-run regression model - FMOLS, PCSE, and FGLS to estimate the elasticity of CO2 emissions. For causal association among variables, we used Dumitrescu-Hurlin Granger causality tests. Our results show that renewable energy consumption and globalization have a significant impact in reducing CO2 emissions, while environmental technology innovations play a meager role in reducing emissions and only when economic growth support those type of investment. Furthermore, we found urbanization, oil consumption, and economic growth is detrimental to the environment, which is also evident in past studies. Therefore, countries should invest in renewable energy and environmental innovation aligned with the growth to reduce GHG emissions.",,Decarbonization; CO2 emissions; Environmental innovation; Environmental technology; Globalization; Renewable energy; Developing Asia economies,No (2)
Ten people-centered rules for socially sustainable ecosystem restoration,"As the UN Decade on Ecosystem Restoration begins, there remains insufficient emphasis on the human and social dimensions of restoration. The potential that restoration holds for achieving both ecological and social goals can only be met through a shift toward people-centered restoration strategies. Toward this end, this paper synthesizes critical insights from a special issue on ""Restoration for whom, by whom"" to propose actionable ways to center humans and social dimensions in ecosystem restoration, with the aim of generating fair and sustainable initiatives. These rules respond to a relative silence on socio-political issues in di Sacco et al.'s ""Ten golden rules for reforestation to optimize carbon sequestration, biodiversity recovery and livelihood benefits"" on socio-political issues and offer complementary guidance to their piece. Arranged roughly in order from pre-intervention, design/initiation, implementation, through the monitoring, evaluation and learning phases, the 10 people-centered rules are: (1) Recognize diversity and interrelations among stakeholders and rightsholders'; (2) Actively engage communities as agents of change; (3) Address socio-historical contexts; (4) Unpack and strengthen resource tenure for marginalized groups; (5) Advance equity across its multiple dimensions and scales; (6) Generate multiple benefits; (7) Promote an equitable distribution of costs, risks, and benefits; (8) Draw on different types of evidence and knowledge; (9) Question dominant discourses; and (10) Practice inclusive and holistic monitoring, evaluation, and learning. We contend that restoration initiatives are only tenable when the issues raised in these rules are respectfully addressed.",,equity; rightsholders; social inclusion; stakeholders; tenure; UN Decade on Ecosystem Restoration,No (2)
Exploring effects of novel chemical modification of biochar on soil water retention and crack suppression: towards commercialization of production of biochar for soil remediation,"Recently, incentives have been provided in developed countries for promoting commercialization of biochar production for usage in construction industry. One of the main reasons for such incentives is the carbon sequestration capacity of biochar, which can be highly useful for countries to meet their goals of carbon emission reduction by 2030. In this regard, chemical modification of biochars has also been done to enhance their surface area and functionality, which is useful for adsorption of pollutants. However, rarely any studies are conducted to explore the effect of chemical treatment of biochar on soil cracking and water retention. The major objective of this study is to explore the crack and water retention properties of chemically modified biochar amended soil. Pig manure biochar (PMB) and peach shell biochar (PSB) with contrasting compositions were modified with H3PO4 and KOH. Soils were mixed with modified biochars at four dosages (0, 2, 5, and 8%). Crack intensity factor (CIF) and moisture content were measured during drying-wetting cycles. Results showed that H3PO4-modified biochar has been found to have a higher impact on water retention as compared to KOH-modified biochar. KOH modification instead tends to reduce hydrophilic functional groups on surface of biochar. Pig manure biochar appears to have a higher crack suppression capacity than even functional biochars. In most cases, 5-8% biochar dosage is generally found to be an optimal range for reducing cracks and improving water retention. Based on the given testing conditions, the effect of chemical modification of biochar on cracking appears to be inconclusive. It should be noted that the results in this study are based on a given testing conditions and generalization requires further studies on different types of soils.",,Biochar; Chemical modification; Crack intensity factor; Water retention,Yes (1)
Responses of leached nitrogen concentrations and soil health to winter rye cover crop under no-till corn-soybean rotation in the northern Great Plains,"Winter rye (Secale cereale L.) is an important cover crop (CC) in the northern Great Plains (NGP), yet concerns over its establishment under the variable weather conditions of this region are an important limitation for its widespread adoption. This study evaluated the impacts of no-till corn (Zea mays L.)-soybean [Glycine max (L.) Merr.] rotation with winter rye CC established in 2017 on (a) water quality (nitrate-N [NO3--N], ammonia-N [NH4+-N], and total nitrogen [TN]) and (b) soil health parameters at the 0-to-15-cm depth. Data showed that rye CC biomass was 251 kg ha(-1) in 2018, 1,213 kg ha(-1) in 2019, and 147 kg ha(-1) in 2020, coinciding with contrasting growing degree days for rye CC (i.e., 1,458, 2,042, and 794, respectively), as a consequence of variable weather conditions. Water quality was not affected for the periods when rye growth was <300 kg ha(-1). In the season when rye CC had greater biomass (1,213 kg ha(-1)), significant reductions in leached NO3--N (19-20%) and TN (8.5-16%) concentrations were observed due to greater N uptake by rye CC (18.8 kg N ha(-1)). Rye CC showed significantly (p <= .05) higher microbially active carbon ( similar to 13%) and water-extractable organic N(similar to 11%) than the control treatment. Nonsignificant impacts on soil health indicators due to rye CC showed that the study duration (3 yr) may not be sufficient to see the beneficial impacts of CCs on soils. However, significant reductions in leached NO3--N and TN concentrations for one (2019) out of three study years suggest that rye with optimal growth has the potential of reducing N leaching and enhancing soil health for the NGP region.",,,No (2)
